Provincia;Municipio;INE;Núcleo;INE Extendido;Fecha fiesta;Nombre fiesta
Ávila;SANTO DOMINGO DE LAS POSADAS;52294;;;2020-11-11;San Martín
Ávila;SERRANILLOS;52336;;;2020-02-04;
Ávila;SERRANILLOS;52336;;;2020-09-02;
Ávila;SIGERES;52341;;;2020-08-03;
Ávila;SINLABAJOS;52354;;;2020-05-06;
Ávila;SOLANA DE RIOALMAR;52373;;;2020-09-14;
Ávila;SOLANA DE RIOALMAR;52373;;;2020-09-15;
Ávila;SOLOSANCHO;52389;;;2020-08-28;
Ávila;SOTALBO;52392;;;2020-02-03;Las Candelas
Ávila;SOTILLO DE LA ADRADA;52406;;;2020-09-09;
Ávila;TIEMBLO (EL);52413;;;2020-06-13;
Ávila;TIEMBLO (EL);52413;;;2020-06-15;
Ávila;TORMELLAS;52449;;;2020-06-24;San Juan Bautista
Ávila;TORRE (LA);52471;TORRE (LA);5247000000;2020-05-15;San Isidro
Ávila;VADILLO DE LA SIERRA;52510;;;2020-08-16;
Ávila;VALDECASA;52525;;;2020-08-10;
Ávila;VEGA DE SANTA MARÍA;52531;;;2020-08-14;
Ávila;VELAYOS;52546;;;2020-05-15;
Ávila;VILLAFLOR;52562;;;2020-06-18;
Ávila;VILLAFRANCA DE LA SIERRA;52578;;;2020-07-13;La Feria
Ávila;VILLANUEVA DE GÓMEZ;52584;;;2020-04-03;
Ávila;VILLANUEVA DEL ACERAL;52597;;;2020-10-05;
Ávila;VILLAR DE CORNEJA;52618;;;2020-08-31;San Ramón
Ávila;VILLATORO;52639;;;2020-04-07;Viernes de Dolores
Ávila;VILLATORO;52639;;;2020-09-29;San Miguel
Ávila;ZAPARDIEL DE LA CAÑADA;52660;;;2020-09-29;San Miguel
Ávila;ZAPARDIEL DE LA RIBERA;52676;ZAPARDIEL DE LA RIBERA;5267000000;2020-07-25;Santiago Apóstol
Burgos;ANGUIX;90177;;;2020-07-16;
Burgos;ARANDA DE DUERO;90183;;;2020-09-14;
Burgos;ARANDILLA;90196;;;2020-05-15;
Burgos;BAHABÓN DE ESGUEVA;90336;;;2020-05-16;Virgen de la Ascensión
Burgos;BAHABÓN DE ESGUEVA;90336;;;2020-08-17;Virgen de la Asunción
Burgos;BRAZACORTA;90559;;;2020-01-20;
Burgos;CASTRILLO DE LA VEGA;90853;;;2020-04-17;
Burgos;CORUÑA DEL CONDE;91123;;;2020-06-26;
Burgos;CORUÑA DEL CONDE;91123;;;2020-11-13;
Burgos;FUENTECÉN;91366;;;2020-05-04;Santo Cristo del Carmelo
Burgos;FUENTECÉN;91366;;;2020-08-28;San Mamés
Burgos;FUENTELCÉSPED;91372;;;2020-09-08;
Burgos;FUENTENEBRO;91405;;;2020-05-15;
