fecha,descripcion,ambito,id_municipio,lugar
07/08/23,luns seguinte a San Roque e Doce Nome de María,municipal,27010,Castro de Rei
21/02/23,Martes de Entroido,municipal,27011,Castroverde
26/07/23,Santiago Apóstolo,municipal,27011,Castroverde
21/02/23,Martes de Entroido,municipal,27012,Cervantes
13/10/23,festivo local,municipal,27012,Cervantes
21/02/23,Martes de Entroido,municipal,27013,Cervo
16/08/23,San Roque,municipal,27013,Cervo
21/02/23,Martes de Entroido,municipal,27014,Corgo (O)
05/10/23,San Froilán,municipal,27014,Corgo (O)
21/02/23,Martes de Entroido,municipal,27015,Cospeito
08/09/23,Nosa Señora Virxe do Monte,municipal,27015,Cospeito
29/08/23,festa da empanada,municipal,27016,Chantada
08/09/23,Nosa Señora do Faro,municipal,27016,Chantada
18/08/23,festas patronais de Folgoso,municipal,27017,Folgoso do Courel
07/12/23,Ponte da Constitución,municipal,27017,Folgoso do Courel
21/02/23,Martes de Entroido,municipal,27018,Fonsagrada (A)
11/09/23,festas patronais da Fonsagrada,municipal,27018,Fonsagrada (A)
21/02/23,Martes de Entroido,municipal,27019,Foz
10/08/23,San Lourenzo,municipal,27019,Foz
21/02/23,Martes de Entroido,municipal,27020,Friol
10/07/23,Luns de Santa Isabel,municipal,27020,Friol
21/02/23,Martes de Entroido,municipal,27021,Xermade
07/08/23,Luns de Santa María,municipal,27021,Xermade
21/02/23,Martes de Entroido,municipal,27022,Guitiriz
24/06/23,San Xoán,municipal,27022,Guitiriz
21/02/23,Martes de Entroido,municipal,27023,Guntín
03/07/23,Luns das Festas de Guntín,municipal,27023,Guntín
21/02/23,Martes de Entroido,municipal,27024,Incio (O)
15/05/23,San Eufrasio,municipal,27024,Incio (O)
21/02/23,Martes de Entroido,municipal,27025,Xove
21/08/23,festas patronais,municipal,27025,Xove
21/02/23,Martes de Entroido,municipal,27026,Láncara
21/08/23,Luns de San Roque,municipal,27026,Láncara
21/02/23,Martes de Entroido,municipal,27027,Lourenzá
28/08/23,Luns do Conde Santo,municipal,27027,Lourenzá
21/02/23,Martes de Entroido,municipal,27028,Lugo
05/10/23,San Froilán,municipal,27028,Lugo
21/02/23,Martes de Entroido,municipal,27029,Meira
16/08/23,San Roque,municipal,27029,Meira
11/09/23,Luns dos Remedios,municipal,27030,Mondoñedo
18/10/23,As San Lucas,municipal,27030,Mondoñedo
11/04/23,Martes de Pascua,municipal,27031,Monforte de Lemos
13/06/23,Santo Antón,municipal,27031,Monforte de Lemos
10/07/23,San Cristovo,municipal,27032,Monterroso
29/09/23,San Miguel,municipal,27032,Monterroso
21/02/23,Martes de Entroido,municipal,27033,Muras
03/07/23,San Pedro de Muras,municipal,27033,Muras
21/02/23,Martes de Entroido,municipal,27034,Navia de Suarna
18/09/23,Virxe das Dores,municipal,27034,Navia de Suarna
21/02/23,Martes de Entroido,municipal,27035,Negueira de Muñiz
16/08/23,festividade da Virxe de Veiga,municipal,27035,Negueira de Muñiz
21/02/23,Martes de Entroido,municipal,27037,Nogais (As)
04/08/23,festa do Emigrante,municipal,27037,Nogais (As)
12/05/23,Nosa Señora de Fátima,municipal,27038,Ourol
28/08/23,Luns de Naseiro,municipal,27038,Ourol
21/02/23,Martes de Entroido,municipal,27039,Outeiro de Rei
03/07/23,Luns de Santa Isabel,municipal,27039,Outeiro de Rei
21/02/23,Martes de Entroido,municipal,27040,Palas de Rei
14/09/23,Ecce-Homo,municipal,27040,Palas de Rei
21/02/23,Martes de Entroido,municipal,27041,Pantón
21/08/23,festas locais,municipal,27041,Pantón
21/02/23,Martes de Entroido,municipal,27042,Paradela
29/09/23,San Miguel,municipal,27042,Paradela
21/02/23,Martes de Entroido,municipal,27043,Páramo (O)
09/06/23,festas de Primavera,municipal,27043,Páramo (O)
21/02/23,Martes de Entroido,municipal,27044,Pastoriza (A)
18/10/23,San Lucas,municipal,27044,Pastoriza (A)
21/02/23,Martes de Entroido,municipal,27045,Pedrafita do Cebreiro
13/06/23,Santo Antón,municipal,27045,Pedrafita do Cebreiro
21/02/23,Martes de Entroido,municipal,27046,Pol
24/08/23,festa do Emigrante,municipal,27046,Pol
21/02/23,Martes de Entroido,municipal,27047,Pobra do Brollón (A)
12/06/23,día seguinte ao Corpus Christi,municipal,27047,Pobra do Brollón (A)
21/02/23,Martes de Entroido,municipal,27048,Pontenova (A)
09/10/23,Luns das Feiras,municipal,27048,Pontenova (A)
21/02/23,Martes de Entroido,municipal,27049,Portomarín
04/09/23,Santo Cristo das Victorias,municipal,27049,Portomarín
20/02/23,Luns de Entroido,municipal,27050,Quiroga
10/04/23,Luns de Pascua,municipal,27050,Quiroga
16/08/23,San Roque co-patrón da vila,municipal,27051,Ribadeo
08/09/23,Santa María do Campo,municipal,27051,Ribadeo
16/08/23,San Roque,municipal,27052,Ribas de Sil
30/10/23,festas de San Claudio,municipal,27052,Ribas de Sil
21/02/23,Martes de Entroido,municipal,27053,Ribeira de Piquín
24/04/23,festividade de San Xurxo,municipal,27053,Ribeira de Piquín
21/02/23,Martes de Entroido,municipal,27054,Riotorto
29/06/23,San Pedro,municipal,27054,Riotorto
09/01/23,San Xulián e Santa Basilisa,municipal,27055,Samos
10/07/23,festa de San Benito,municipal,27055,Samos
21/02/23,Martes de Entroido,municipal,27056,Rábade
14/08/23,Nosa Señora da Asunción,municipal,27056,Rábade
24/06/23,festivo local,municipal,27057,Sarria
08/09/23,festivo local,municipal,27057,Sarria
21/02/23,Martes de Entroido,municipal,27058,Saviñao (O)
08/08/23,festas locais de Escairón,municipal,27058,Saviñao (O)
08/09/23,Romaría Virxe de Cadeiras,municipal,27059,Sober
18/09/23,festas patronais,municipal,27059,Sober
21/02/23,Martes de Entroido,municipal,27060,Taboada
14/08/23,festas da vila,municipal,27060,Taboada
25/04/23,San Marcos,municipal,27061,Trabada
16/08/23,San Roque,municipal,27061,Trabada
21/02/23,Martes de Entroido,municipal,27062,Triacastela
17/08/23,San Mamede,municipal,27062,Triacastela
21/02/23,Martes de Entroido,municipal,27063,Valadouro (O)
08/09/23,festa do Oito,municipal,27063,Valadouro (O)
21/02/23,Martes de Entroido,municipal,27064,Vicedo (O)
07/08/23,Santo Estevo,municipal,27064,Vicedo (O)
31/08/23,San Ramón,municipal,27065,Vilalba
01/09/23,Santa María,municipal,27065,Vilalba
21/02/23,Martes de Entroido,municipal,27066,Viveiro
16/08/23,San Roque,municipal,27066,Viveiro
21/02/23,Martes de Entroido,municipal,27901,Baralla
28/08/23,San Vitorio,municipal,27901,Baralla
21/02/23,Martes de Entroido,municipal,27902,Burela
05/06/23,luns das festas patronais,municipal,27902,Burela
21/02/23,Martes de Entroido,municipal,32001,Allariz
09/06/23,Venres do Boi,municipal,32001,Allariz
21/02/23,Martes de Entroido,municipal,32002,Amoeiro
11/11/23,San Martiño,municipal,32002,Amoeiro
22/05/23,Santa Rita,municipal,32003,Arnoia (A)
04/08/23,festa do Pemento,municipal,32003,Arnoia (A)
21/02/23,Martes de Entroido,municipal,32004,Avión
07/08/23,Luns de San Roque,municipal,32004,Avión
21/02/23,Martes de Entroido,municipal,32005,Baltar
18/05/23,festa da Ascensión,municipal,32005,Baltar
21/02/23,Martes de Entroido,municipal,32006,Bande
21/08/23,festas de San Roque,municipal,32006,Bande
21/02/23,Martes de Entroido,municipal,32007,Baños de Molgas
08/09/23,Os Milagres,municipal,32007,Baños de Molgas
21/02/23,Martes de Entroido,municipal,32008,Barbadás
11/11/23,San Martiño,municipal,32008,Barbadás
22/05/23,Día de Santa Rita,municipal,32009,Barco de Valdeorras (O)
14/09/23,Día do Cristo,municipal,32009,Barco de Valdeorras (O)
03/02/23,San Blas,municipal,32010,Beade
16/08/23,San Roque,municipal,32010,Beade
21/02/23,Martes de Entroido,municipal,32011,Beariz
16/08/23,San Roque,municipal,32011,Beariz
21/02/23,Martes de Entroido,municipal,32012,Blancos (Os)
15/09/23,A Nosa Señora das Dores,municipal,32012,Blancos (Os)
13/06/23,Santo Antonio,municipal,32013,Boborás
19/09/23,Virxe da Saleta,municipal,32013,Boborás
21/02/23,Martes de Entroido,municipal,32014,Bola (A)
02/05/23,Santa Cruz en Veiga,municipal,32014,Bola (A)
16/08/23,,municipal,32015,Bolo (O)
13/12/23,,municipal,32015,Bolo (O)
21/02/23,Martes de Entroido,municipal,32016,Calvos de Randín
07/08/23,festas de Calvos,municipal,32016,Calvos de Randín
21/02/23,Martes de Entroido,municipal,32017,Carballeda de Valdeorras
17/04/23,Nosa Señora da Encarnación,municipal,32017,Carballeda de Valdeorras
21/02/23,Martes de Entroido,municipal,32018,Carballeda de Avia
29/05/23,Luns de Lodairo,municipal,32018,Carballeda de Avia
21/02/23,Martes de Entroido,municipal,32019,Carballiño (O)
18/09/23,día seguinte ao patrón San Cibrao,municipal,32019,Carballiño (O)
21/03/23,San Bieito,municipal,32020,Cartelle
22/08/23,Virxe do Mundil,municipal,32020,Cartelle
17/01/23,Santo Antón,municipal,32021,Castrelo do Val
22/02/23,Mércores de Cinza,municipal,32021,Castrelo do Val
21/02/23,Martes de Entroido,municipal,32022,Castrelo de Miño
04/08/23,Virxe das Neves,municipal,32022,Castrelo de Miño
20/01/23,festa dos Fachós,municipal,32023,Castro Caldelas
08/09/23,festa dos Remedios,municipal,32023,Castro Caldelas
01/03/23,San Rosendo,municipal,32024,Celanova
16/08/23,San Roque,municipal,32024,Celanova
21/02/23,Martes de Entroido,municipal,32025,Cenlle
10/04/23,Virxe das Areas,municipal,32025,Cenlle
21/02/23,Martes de Entroido,municipal,32026,Coles
11/11/23,San Martiño,municipal,32026,Coles
11/07/23,San Bieito,municipal,32027,Cortegada
26/07/23,Santa Ana,municipal,32027,Cortegada
22/02/23,Mércores de Cinza,municipal,32028,Cualedro
13/06/23,Santo Antonio,municipal,32028,Cualedro
21/02/23,Martes de Entroido,municipal,32029,Chandrexa de Queixa
04/09/23,luns posterior á festa do Cordeiro,municipal,32029,Chandrexa de Queixa
21/02/23,Martes de Entroido,municipal,32030,Entrimo
02/08/23,,municipal,32030,Entrimo
02/02/23,As Candelas (patroa),municipal,32031,Esgos
21/02/23,Martes de Entroido,municipal,32031,Esgos
21/02/23,Martes de Entroido,municipal,32032,Xinzo de Limia
18/07/23,festas de Santa Mariña,municipal,32032,Xinzo de Limia
14/08/23,,municipal,32033,Gomesende
13/10/23,,municipal,32033,Gomesende
24/02/23,,municipal,32034,Gudiña (A)
24/08/23,,municipal,32034,Gudiña (A)
21/02/23,Martes de Entroido,municipal,32035,Irixo (O)
16/08/23,San Roque,municipal,32035,Irixo (O)
03/02/23,San Blas,municipal,32036,Xunqueira de Ambía
16/08/23,San Roque,municipal,32036,Xunqueira de Ambía
21/02/23,Martes de Entroido,municipal,32037,Xunqueira de Espadanedo
10/07/23,luns das festas patronais na honra da Santa Isabel,municipal,32037,Xunqueira de Espadanedo
08/09/23,Santa María dos Remedios,municipal,32038,Larouco
13/12/23,Santa Lucía,municipal,32038,Larouco
22/02/23,Mércores de Cinza,municipal,32039,Laza
03/05/23,Día do Santo Cristo,municipal,32039,Laza
03/05/23,Santa Cruz,municipal,32040,Leiro
29/06/23,San Pedro,municipal,32040,Leiro
21/02/23,Martes de Entroido,municipal,32041,Lobeira
08/09/23,O Viso Pequeno,municipal,32041,Lobeira
21/02/23,Martes de Entroido,municipal,32042,Lobios
11/08/23,festa do Verán,municipal,32042,Lobios
21/02/23,Martes de Entroido,municipal,32043,Maceda
08/08/23,festas patronais de Maceda,municipal,32043,Maceda
21/02/23,Martes de Entroido,municipal,32044,Manzaneda
07/08/23,Virxe das Neves,municipal,32044,Manzaneda
21/02/23,Martes de Entroido,municipal,32045,Maside
28/08/23,festa do San Vitorio,municipal,32045,Maside
03/05/23,Santa Cruz,municipal,32046,Melón
13/06/23,Santo Antonio,municipal,32046,Melón
21/02/23,Martes de Entroido,municipal,32047,Merca (A)
05/06/23,Espírito Santo,municipal,32047,Merca (A)
04/08/23,Virxe das Neves,municipal,32048,Mezquita (A)
10/11/23,San Martiño,municipal,32048,Mezquita (A)
21/02/23,Martes de Entroido,municipal,32049,Montederramo
16/08/23,San Roque,municipal,32049,Montederramo
26/07/23,,municipal,32050,Monterrei
16/08/23,,municipal,32050,Monterrei
21/02/23,Martes de Entroido,municipal,32051,Muíños
30/06/23,San Pedro,municipal,32051,Muíños
21/02/23,Martes de Entroido,municipal,32052,Nogueira de Ramuín
16/08/23,San Roque,municipal,32052,Nogueira de Ramuín
22/02/23,Mércores de Cinza,municipal,32053,Oímbra
26/07/23,Santa Ana,municipal,32053,Oímbra
21/02/23,Martes de Entroido,municipal,32054,Ourense
11/11/23,San Martiño,municipal,32054,Ourense
21/02/23,Martes de Entroido,municipal,32055,Paderne de Allariz
10/11/23,San Martiño,municipal,32055,Paderne de Allariz
23/06/23,San Xoán,municipal,32056,Padrenda
29/09/23,San Miguel de Desteriz,municipal,32056,Padrenda
21/02/23,Martes de Entroido,municipal,32057,Parada de Sil
31/08/23,,municipal,32057,Parada de Sil
21/02/23,Martes de Entroido,municipal,32058,Pereiro de Aguiar (O)
11/11/23,San Martiño,municipal,32058,Pereiro de Aguiar (O)
21/02/23,Martes de Entroido,municipal,32059,Peroxa (A)
13/11/23,San Martiño,municipal,32059,Peroxa (A)
17/01/23,Santo Antón,municipal,32060,Petín
26/07/23,Santa Ana,municipal,32060,Petín
21/02/23,Martes de Entroido,municipal,32061,Piñor
24/07/23,en substitución do San Martiño,municipal,32061,Piñor
21/02/23,Martes de Entroido,municipal,32062,Porqueira
10/04/23,Luns de Pascua,municipal,32062,Porqueira
24/08/23,,municipal,32063,Pobra de Trives (A)
14/09/23,,municipal,32063,Pobra de Trives (A)
21/02/23,Martes de Entroido,municipal,32064,Pontedeva
17/07/23,luns seguinte ao Día do Carme,municipal,32064,Pontedeva
21/02/23,Martes de Entroido,municipal,32065,Punxín
17/04/23,San Wintila,municipal,32065,Punxín
21/02/23,Martes de Entroido,municipal,32066,Quintela de Leirado
08/09/23,Virxe dos Remedios,municipal,32066,Quintela de Leirado
21/02/23,Martes de Entroido,municipal,32067,Rairiz de Veiga
07/12/23,ponte da Constitución,municipal,32067,Rairiz de Veiga
21/02/23,Martes de Entroido,municipal,32068,Ramirás
07/12/23,ponte da Constitución,municipal,32068,Ramirás
21/02/23,Martes de Entroido,municipal,32069,Ribadavia
08/09/23,Virxe do Portal,municipal,32069,Ribadavia
21/02/23,Martes de Entroido,municipal,32070,San Xoán de Río
23/06/23,San Xoán,municipal,32070,San Xoán de Río
16/08/23,San Roque,municipal,32071,Riós
15/09/23,Nosa Señora das Dores,municipal,32071,Riós
07/08/23,festas do Verán,municipal,32072,Rúa (A)
21/08/23,San Roque,municipal,32072,Rúa (A)
18/05/23,A Ascensión,municipal,32073,Rubiá
24/08/23,San Bartolomeu,municipal,32073,Rubiá
21/02/23,Martes de Entroido,municipal,32074,San Amaro
15/05/23,San Trocado,municipal,32074,San Amaro
21/02/23,Martes de Entroido,municipal,32075,San Cibrao das Viñas
11/11/23,San Martiño,municipal,32075,San Cibrao das Viñas
10/07/23,San Cristovo,municipal,32076,San Cristovo de Cea
25/09/23,festas da Saleta,municipal,32076,San Cristovo de Cea
21/02/23,Martes de Entroido,municipal,32077,Sandiás
10/04/23,Luns de Pascua,municipal,32077,Sandiás
20/02/23,Luns de Entroido,municipal,32078,Sarreaus
11/09/23,festa de Sarreaus,municipal,32078,Sarreaus
21/02/23,Martes de Entroido,municipal,32079,Taboadela
