,festival,localidad,lat,lng,status,est,type,prov,comunidad,presupuesto_2022,turistas_2022,city_budget,city_pop,euro_per_citizen,turista_to_pop,budget_to_pop,start,fin,web,st,fi
47,Semana Santa en Murcia,Murcia,37.98611,-1.13028,interes internacional,2011,religious/ popular,Murcia,Murcia,200000,150000,452000000,462979,0.43,0.32,976.29,4/2/2023,4/9/2023,https://www.turismoregiondemurcia.es/es/semana_santa_murcia/,2023-04-02,2023-04-09
48,Bando de la Huerta,Murcia,37.98611,-1.13028,interes internacional,2012,historic,Murcia,Murcia,350000,500000,452000000,462979,0.76,1.08,976.29,4/11/2023,4/11/2023,https://www.turismoregiondemurcia.es/es/evento/bando-de-la-huerta-M424171/,2023-04-11,2023-04-11
49,Entierro de la Sardina en Murcia,Murcia,37.98611,-1.13028,interes internacional,2006,carnaval,Murcia,Murcia,800000,1000000,452000000,462979,1.73,2.16,976.29,4/12/2023,4/12/2023,https://entierrodelasardina.es/,2023-04-12,2023-04-12
50,Fiestas de la Santísima y Vera Cruz,Caravaca de la Cruz,38.1075,-1.86,interes internacional,2004,religious/ popular,Murcia,Murcia,90000,30000,43800000,25722,3.5,1.17,1702.82,5/1/2023,5/5/2023,https://www.turismoregiondemurcia.es/es/evento/fiestas-de-la-santisima-y-vera-cruz-M424145/,2023-05-01,2023-05-05
51,Festival Internacional del Cante de las Minas,La Unión,37.61917,-0.87556,interes internacional,2006,music,Murcia,Murcia,151000,60000,13800000,20656,7.31,2.9,668.09,7/29/2023,8/6/2023,https://festivalcantedelasminas.org/,2023-07-29,2023-08-06
52,Carthagineses y Romanos,Cartagena,37.6,-0.98194,interes internacional,2017,historic,Murcia,Murcia,655000,600000,247000000,213943,3.06,2.8,1154.51,9/15/2023,9/25/2023,https://cartaginesesyromanos.es,2023-09-15,2023-09-25
53,Sanfermines,Pamplona,42.81667,-1.65,interes internacional,1980,corrida ,Navarra,Navarra,2700000,1700000,259000000,203418,13.27,8.36,1273.24,7/6/2023,7/14/2023,https://www.sanfermin.com/es/,2023-07-06,2023-07-14
54,Descenso Internacional del Sella en Arriondas y Ribadesella,Parres,43.38583,-5.19083,interes internacional,1980,water sport,Asturias,Principado de Asturias,150000,300000,5900000,5353,28.02,56.04,1102.19,8/5/2023,8/9/2023,https://www.descensodelsella.com/,2023-08-05,2023-08-09
55,Fallas,Valencia,39.46667,-0.375,interes internacional,1980,fireworks,Valencia,Valenciana,8542000,900000,1043000000,792492,10.78,1.14,1316.1,3/1/2023,3/19/2023,https://www.fallas.com/,2023-03-01,2023-03-19
56,Fiestas de la Magdalena,Castellón de la Plana,39.96667,-0.05,interes internacional,2010,religious/ popular,Castellón de la Plana,Valenciana,2030000,350000,195870000,171857,11.81,2.04,1139.73,3/11/2023,3/19/2023,https://fiestasdelamagdalena.com,2023-03-11,2023-03-19
57,Semana Santa en Orihuela,Orihuela,38.08556,-0.94694,interes internacional,2010,religious/ popular,Alicante,Valenciana,50000,50000,80000000,80784,0.62,0.62,990.3,4/2/2023,4/9/2023,http://www.semanasantaorihuela.com/,2023-04-02,2023-04-09
58,Semana Santa en Crevillente,Crevillente,38.24861,-0.80889,interes internacional,2011,religious/ popular,Alicante,Valenciana,30000,25000,26000000,29881,1.0,0.84,870.12,4/2/2023,4/9/2023,https://semanasantacrevillent.es/,2023-04-02,2023-04-09
59,Procesión del Domingo de Ramos de Elche,Elche,38.26694,-0.69833,interes internacional,1997,religious/ popular,Alicante,Valenciana,150000,300000,246000000,235580,0.64,1.27,1044.23,4/2/2023,4/9/2023,https://semanasantaelche.com/,2023-04-02,2023-04-09
60,Moros y Cristianos de Alcoy,Alcoy,38.69833,-0.47361,interes internacional,1980,historic,Alicante,Valenciana,1100000,100000,73000000,58960,18.66,1.7,1238.13,4/22/2023,4/24/2023,https://www.asjordi.org/,2023-04-22,2023-04-24
61,Hogueras de Alicante,Alicante,38.34528,-0.48306,interes internacional,1983,fireworks,Alicante,Valenciana,119000,150000,326000000,338577,0.35,0.44,962.85,6/20/2023,6/24/2023,https://www.hogueras.es/,2023-06-20,2023-06-24
62,Certamen Internacional de Habaneras y Polifonía de Torrevieja,Torrevieja,37.97778,-0.68333,interes internacional,1994,music,Alicante,Valenciana,65000,120000,106800000,83547,0.78,1.44,1278.32,7/25/2023,7/28/2023,https://habaneras.org/,2023-07-25,2023-07-28
63,Moros y Cristianos de Villajoyosa,Villajoyosa,38.50528,-0.23278,interes internacional,2003,historic,Alicante,Valenciana,450000,50000,39500000,34828,12.92,1.44,1134.14,7/24/2023,7/31/2023,https://www.turismolavilajoiosa.com/es/Disfruta/FiestaMorosYCristianos,2023-07-24,2023-07-31
64,Misterio de Elche,Elche,38.26694,-0.69833,interes internacional,1980,religious/ popular,Alicante,Valenciana,412000,150000,246000000,235580,1.75,0.64,1044.23,8/11/2023,8/13/2023,https://www.misteridelx.com/,2023-08-11,2023-08-13
65,Tomatina,Buñol,39.41944,-0.79056,interes internacional,1945,battle,Valencia,Valenciana,54000,45000,10700000,9517,5.67,4.73,1124.3,8/31/2023,8/31/2023,https://latomatina.info/,2023-08-31,2023-08-31
66,Entrada de toros y caballos,Segorbe,39.85194,-0.48944,interes internacional,2005,battle,Castellón,Valenciana,115000,150000,14000000,9146,12.57,16.4,1530.72,9/5/2023,9/9/2023,https://turismo.segorbe.es/entrada-de-toros-y-caballos/,2023-09-05,2023-09-09
67,Moros y Cristianos de Crevillente,Crevillente,38.24861,-0.80889,interes internacional,2017,historic,Alicante,Valenciana,35000,40000,26000000,29881,1.17,1.34,870.12,10/6/2023,10/10/2023,http://www.morosicristianscrevillent.com,2023-10-06,2023-10-10
68,La Feria de Almeria,Almería,36.84191,-2.46362,local,1502,fair ,Almería ,Andalucía ,1630000,200000,89000000,199237,8.18,1.0,446.7,8/20/2023,8/27/2023,http://feriadealmeria.es/,2023-08-20,2023-08-27
69,Batalla de Flores,Córdoba,37.89155,-4.77275,local,1915,cabalgata ,Cordoba,Andalucía ,310000,80000,334000000,322071,0.96,0.25,1037.04,5/2/2023,5/2/2023,https://www.turismodecordoba.org/batalla-de-las-flores-cordoba-espana,2023-05-02,2023-05-02
70,Cruces de Mayo,Granada,37.18817,-3.60667,local,1922,religious/ popular,Granada,Andalucía ,50000,80000,307000000,228682,0.22,0.35,1342.48,5/3/2023,5/3/2023,https://granadaescultura.com/fiestas-granada/cruces/,2023-05-03,2023-05-03
71,Las Colombinas,Huelva,37.25455,-6.94518,local,1920,historic,Huelva,Andalucía ,600000,300000,143000000,142538,4.21,2.1,1003.24,8/2/2023,8/7/2023,https://www.agendadehuelva.com/colombinas/,2023-08-02,2023-08-07
72,San Antón,Jaén,37.76908,-3.78631,local,1984,sport,Jaén,Andalucía ,450000,11000,163000000,111932,4.02,0.1,1456.24,1/16/2023,1/17/2023,https://carrerasanantonjaen.com/,2023-01-16,2023-01-17
